DepMap	Ours
WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	WSU_DLBCL2
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL_41
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CA_46
CTB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CTB_1
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DB
SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DHL10
SUDHL16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DHL16
SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DHL4
SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DHL5
SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DHL6
SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DHL8
DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DAUDI
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DOHH2
FARAGE_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	FARAGE
HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HDLM2
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HT
KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMH2
L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L1236
L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L428
L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L540
OCILY10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	LY10
OCILY18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	LY18
OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	LY19
OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	LY3
OCILY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	LY7
NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NU_DUL_1
NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NAMALWA
PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PFEIFFER
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RAJI
RAMOS_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RAMOS
JSC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SC1
TK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TK
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TOLEDO
WSUNHL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	WSU_NHL
