	n	ABC	GCB	unclassified	missing COO	p value (ABC vs GCB)
1_all	139	63	25	45	6	0.0045099167157358604
1_all_HC	106	47	20	36	3	0.02214793217735548
1_all_LC	33	16	5	9	3	0.09385753879289371
1_Chapuy	43	23	7	7	6	0.004833162931948839
1_Chapuy_HC	34	20	5	6	3	0.0018133954626085166
1_Chapuy_LC	9	3	2	1	3	1.0
1_Schmitz	96	40	18	38	0	0.1865869619850325
1_Schmitz_HC	72	27	15	30	0	0.7308651862161413
1_Schmitz_LC	24	13	3	8	0	0.08615071678615097
2_all	168	73	55	25	15	0.8377154199271951
2_all_HC	126	55	42	20	9	0.9064714407321243
2_all_LC	42	18	13	5	6	1.0
2_Chapuy	79	30	24	10	15	0.6316016198212948
2_Chapuy_HC	59	22	20	8	9	0.8573479883264126
2_Chapuy_LC	20	8	4	2	6	0.5071446007350711
2_Schmitz	89	43	31	15	0	0.5907522434783052
2_Schmitz_HC	67	33	22	12	0	0.8765202794714967
2_Schmitz_LC	22	10	9	3	0	0.43541536112518203
3_all	113	6	89	8	10	1.2616399663720011e-31
3_all_HC	90	4	74	4	8	1.2840014180181158e-27
3_all_LC	23	2	15	4	2	2.291953786400382e-05
3_Chapuy	52	1	39	2	10	3.4874350704697626e-14
3_Chapuy_HC	42	0	32	2	8	1.3927440016089734e-12
3_Chapuy_LC	10	1	7	0	2	0.01363663700589399
3_Schmitz	61	5	50	6	0	2.195456488551487e-18
3_Schmitz_HC	48	4	42	2	0	3.3497166245944234e-16
3_Schmitz_LC	13	1	8	4	0	0.0020830618696881424
4_all	99	24	48	21	6	9.06768554656537e-06
4_all_HC	62	10	33	16	3	2.226693842819993e-06
4_all_LC	37	14	15	5	3	0.1992372274476917
4_Chapuy	39	6	20	7	6	0.001446853117502065
4_Chapuy_HC	27	3	15	6	3	0.002136475027220976
4_Chapuy_LC	12	3	5	1	3	0.26199553539315307
4_Schmitz	60	18	28	14	0	0.0017465965841211993
4_Schmitz_HC	35	7	18	10	0	0.00046804556491419116
4_Schmitz_LC	25	11	10	4	0	0.4409924746239604
5_all	180	142	7	15	16	1.7992306921133583e-32
5_all_HC	140	118	4	8	10	1.6153202065259933e-30
5_all_LC	40	24	3	7	6	0.0003144471580889765
5_Chapuy	64	41	2	5	16	9.018220038691485e-12
5_Chapuy_HC	44	31	1	2	10	4.731991581489996e-10
5_Chapuy_LC	20	10	1	3	6	0.012603728996241776
5_Schmitz	116	101	5	10	0	3.694722693892573e-21
5_Schmitz_HC	96	87	3	6	0	1.357873918012101e-20
5_Schmitz_LC	20	14	2	4	0	0.020525861961561233
